number,title,question,choice1,choice2,choice3,choice4,choice5,answer
1,전체확률의 법칙,"A공장은 전체 제품의 80%, B공장은 20%를 생산한다.
A공장의 불량률은 1%, B공장의 불량률은 6%이다.
제품 1개를 임의로 선택할 때 불량품일 확률은?",0.018,0.020,0.022,0.024,0.028,2
2,베이즈 정리,"어느 회사에서 A공장은 전체의 70%, B공장은 전체의 30%를 생산한다.
A공장의 불량률은 2%, B공장의 불량률은 5%이다.
불량품 1개가 나왔을 때 그것이 B공장에서 생산되었을 확률은?",$\frac{0.015}{0.029}$,$\frac{0.015}{0.035}$,$\frac{0.021}{0.029}$,$\frac{0.021}{0.035}$,$\frac{0.05}{0.07}$,1
3,이항분포의 PMF,"성공확률이 $p=0.4$인 독립시행을 5번 했을 때 성공횟수를 $X$라 하자.
$X$의 PMF는?",$P(X=x)=\binom{5}{x}(0.4)^x(0.6)^x$,$P(X=x)=\binom{5}{x}(0.4)^x(0.6)^{5-x}$,$P(X=x)=5(0.4)^x(0.6)^{5-x}$,$P(X=x)=\binom{x}{5}(0.4)^x(0.6)^{5-x}$,$P(X=x)=(0.4)^x(0.6)^{5-x}$,2
4,이항분포 계산,"동전을 4번 던질 때 앞면이 나올 횟수를 $X$라 하자. 공정한 동전이다.
$P(X=2)$는?",$\frac{1}{4}$,$\frac{3}{8}$,$\frac{1}{2}$,$\frac{5}{8}$,$\frac{3}{16}$,2
5,포아송분포,"어느 콜센터에 1분당 평균 3통의 전화가 온다고 하자.
1분 동안 오는 전화 수를 $X$라 할 때 $X$의 분포로 가장 알맞은 것은?","$\mathrm{Bin}(3,1)$",$\mathrm{Poisson}(3)$,$\mathrm{Exp}(3)$,"$N(3,3)$",$t_3$,2
6,포아송분포 확률,"어떤 지역에서 하루 평균 사고 건수가 2건이다.
하루 동안 사고가 한 번도 일어나지 않을 확률은?",$2e^{-2}$,$e^{-1}$,$e^{-2}$,$1-e^{-2}$,$\frac{e^{-2}}{2}$,3
7,지수분포의 CDF,$X\sim \mathrm{Exp}(\lambda)$일 때 누적분포함수 $F(x)$는?,$F(x)=e^{-\lambda x}\quad(x\ge0)$,$F(x)=1-e^{-\lambda x}\quad(x\ge0)$,$F(x)=\lambda e^{-\lambda x}\quad(x\ge0)$,$F(x)=1-\lambda e^{-\lambda x}\quad(x\ge0)$,$F(x)=xe^{-\lambda x}\quad(x\ge0)$,2
8,지수분포 확률,$X\sim \mathrm{Exp}(0.5)$일 때 $P(X>2)$는?,$1-e^{-1}$,$e^{-1}$,$e^{-2}$,$1-e^{-2}$,$0.5e^{-1}$,2
9,균등분포의 밀도,"$X\sim U(2,8)$일 때 확률밀도함수의 높이는?",$\frac{1}{2}$,$\frac{1}{4}$,$\frac{1}{6}$,$\frac{1}{8}$,$6$,3
10,확률질량함수 확인,"확률변수 $X$의 PMF가 다음과 같다고 하자.

$$P(X=0)=0.2,\quad P(X=1)=0.3,\quad P(X=2)=0.4,\quad P(X=3)=0.2$$

이 분포에 대한 설명으로 옳은 것은?",올바른 PMF이다.,전체 합이 0.9이므로 올바르다.,전체 합이 1.1이므로 올바른 PMF가 아니다.,음수가 없으므로 무조건 올바르다.,값이 4개 이상이면 PMF가 아니다.,3
11,기댓값,"확률변수 $X$가

$$P(X=0)=0.2,\quad P(X=1)=0.5,\quad P(X=2)=0.3$$

를 가질 때 $E(X)$는?",0.8,1.0,1.1,1.3,1.5,2
12,누적분포함수,"확률변수 $X$가

$$P(X=0)=0.1,\quad P(X=1)=0.4,\quad P(X=2)=0.3,\quad P(X=3)=0.2$$

를 가질 때 $F(2)=P(X\le2)$는?",0.3,0.5,0.7,0.8,1.0,4
13,정규분포 표준화,"$X\sim N(100,15^2)$일 때 $X=130$에 대응하는 표준화값 $z$는?",1,1.5,2,2.5,3,3
14,정규분포 오른쪽 꼬리,"$Z\sim N(0,1)$일 때 $P(Z>1)$에 대한 식으로 옳은 것은?",$\Phi(1)$,$1-\Phi(1)$,$\Phi(-1)$,$\Phi(1)-1$,$1+\Phi(1)$,2
15,정규분포 구간확률,"$X\sim N(50,10^2)$일 때

$$P(40\le X\le 60)$$

과 같은 식은?",$P(-1\le Z\le 1)$,$P(0\le Z\le 1)$,$P(-2\le Z\le 2)$,$P(Z\le 1)$,$P(Z\ge -1)$,1
16,표본평균의 기댓값,"표본 $X_1,\dots,X_n$이 평균 $\mu$인 모집단에서 추출되었다고 하자.
표본평균 $\bar X$에 대해 항상 성립하는 것은?",$E(\bar X)=0$,$E(\bar X)=1$,$E(\bar X)=\mu$,$E(\bar X)=n\mu$,$E(\bar X)=\mu/n^2$,3
17,표준오차,"모집단 표준편차가 $\sigma=12$, 표본크기가 $n=36$일 때 표본평균의 표준오차는?",12,6,4,3,2,5
