number,title,question,choice1,choice2,choice3,choice4,choice5,answer
1,사회학적 상상력,사회학적 상상력에 대한 설명으로 가장 적절한 것은?,개인의 심리 상태를 생물학적으로 분석하는 능력,개인적 경험을 역사적·사회적 맥락과 연결해 이해하는 능력,사회를 수학적 공식으로만 설명하려는 태도,모든 사회현상을 개인의 자유의지로 환원하는 시각,사회문제를 도덕적 비난으로 판단하는 태도,2
2,사회구조,다음 중 **사회구조**에 대한 설명으로 가장 적절한 것은?,사회 속 개인의 일시적 감정 상태,개인의 성격 유형이 모인 총합,"행위자, 집단, 제도 간의 움직임이 지속되는 양상",국가가 만든 법률만을 가리키는 개념,개인의 주관적 의미만으로 이루어진 질서,3
3,행위자,다음 중 **행위자**의 예로 가장 적절한 것은?,교육제도,가족제도,대학생 동아리,법률 체계,사회규범,3
4,사회적 사실,뒤르케임의 **사회적 사실**에 대한 설명으로 옳은 것은?,개인 내부의 감정 상태만을 뜻한다.,개인의 자유로운 선택이 모이면 자동으로 생긴다.,개인 바깥에 존재하며 개인에게 강제력을 행사한다.,오직 경제적 이해관계만을 반영한다.,사회보다 개인의 의미를 우선시한다.,3
5,자살 연구,뒤르케임이 자살을 사회학적으로 연구할 수 있다고 본 이유로 가장 적절한 것은?,자살은 모두 유전적 원인으로 발생하기 때문에,자살은 개인의 순간 감정만으로 결정되기 때문에,자살은 사회통합과 규범 상태를 반영하는 사회적 현상이기 때문에,자살은 법적으로 금지되어 있기 때문에,자살은 종교와 무관하기 때문에,3
6,아노미,다음 중 **아노미** 상태에 대한 설명으로 가장 적절한 것은?,사회적 규범과 가치가 지나치게 강화된 상태,사회 변화 속에서 기존 규범은 약화되었지만 새로운 규범은 확립되지 않은 불안정한 상태,사회 구성원 모두가 동일한 역할을 수행하는 상태,사회가 완전한 조화를 이루고 있는 상태,법과 제도가 전혀 존재하지 않는 무정부 상태,2
7,기계적 연대와 유기적 연대,뒤르케임의 **기계적 연대**와 **유기적 연대**에 대한 설명으로 옳은 것은?,"기계적 연대는 근대사회, 유기적 연대는 전통사회에 주로 나타난다.",기계적 연대는 분업과 전문성에 기초한다.,유기적 연대는 구성원 간 동질성과 공통 경험에 기초한다.,"기계적 연대는 전통사회의 동질성에, 유기적 연대는 근대사회의 분업과 상호의존에 기초한다.",두 개념은 사실상 같은 의미이다.,4
8,사회적 행위,베버가 말한 **사회적 행위**의 성립 조건으로 가장 적절한 것은?,법률에 의해 강제되는 행위일 것,오직 경제적 이익을 위한 행위일 것,주관적 의미가 부여되고 타인의 행위와 관계를 맺을 것,사회 전체에 기능적으로 기여할 것,반드시 집단이 함께 수행할 것,3
9,행위와 행동,베버의 관점에서 **행위**와 **행동**의 차이로 가장 적절한 것은?,행위는 사회적이고 행동은 비사회적이다.,"행위는 주관적 의미가 개입되지만, 행동은 그렇지 않을 수 있다.",행동은 인간만 하고 행위는 동물만 한다.,행위는 집단적이고 행동은 개인적이다.,둘은 완전히 같은 뜻이다.,2
10,이상형,베버가 자본주의의 발생을 설명하기 위해 사용한 개념으로 가장 적절한 것은?,아노미,유기적 연대,이상형,역기능,낙인,3
