number,title,question,choice1,choice2,choice3,choice4,choice5,answer
1,span의 기본 포함 원소,벡터 하나의 span에 반드시 포함되는 것은 무엇인가?,모든 단위벡터,모든 기저벡터,영벡터,모든 고유벡터,모든 직교벡터,3
2,고유벡터의 조건,고유벡터에 대해 반드시 맞는 설명은?,영벡터일 수 있다,반드시 길이가 1이다,반드시 서로 수직이다,영벡터가 아니어야 한다,항상 하나만 존재한다,4
3,고유공간의 성질,고유공간에 대한 설명으로 맞는 것은?,영벡터를 포함하지 않는다,항상 한 개의 벡터만 가진다,부분공간이다,항상 2차원이다,고유값보다 먼저 구한다,3
4,고유벡터 집합과 고유공간,고유벡터들의 집합과 고유공간의 차이로 맞는 것은?,둘은 완전히 같은 말이다,고유공간은 영벡터를 포함할 수 있다,고유벡터 집합은 항상 부분공간이다,고유공간은 영벡터를 제외한다,고유벡터 집합은 항상 기저다,2
5,span의 의미,span이라는 말의 뜻으로 가장 적절한 것은?,벡터들의 길이의 합,벡터들의 내적의 집합,주어진 벡터들의 선형결합 전체,벡터들의 순서쌍 전체,벡터들의 크기 비교 결과,3
6,영공간의 성질,영공간에 대한 설명으로 맞는 것은?,영벡터를 포함하지 않는다,항상 부분공간이다,항상 1차원이다,항상 기저가 없다,항상 고유공간과 다르다,2
7,고유공간과 span,고유공간이 span으로 표현되는 가장 큰 이유는 무엇인가?,계산이 더 느려지기 위해,벡터를 하나만 쓰기 위해,부분공간 전체를 나타내기 위해,영벡터를 숨기기 위해,행렬식을 없애기 위해,3
8,서로 다른 고유값,서로 다른 고유값이 여러 개 존재할 때 일반적으로 기대할 수 있는 것은?,고유벡터들이 모두 같다,대각화 가능성이 커진다,역행렬이 반드시 없다,행렬이 반드시 대칭이다,영공간이 반드시 0차원이다,2
9,대각화 가능성,대각화 가능하다는 말의 의미로 가장 적절한 것은?,행렬이 상삼각행렬이라는 뜻,행렬을 대각행렬과 관련된 형태로 바꿀 수 있다는 뜻,모든 원소가 0이라는 뜻,행렬의 행이 모두 같다는 뜻,직교행렬과 같다는 뜻,2
10,QR분해의 Q,QR분해에서 Q의 특징으로 맞는 것은?,항상 영행렬이다,열벡터들이 정규직교한다,항상 대각행렬이다,항상 하삼각행렬이다,열벡터들이 모두 같다,2
11,QR분해의 R,QR분해에서 R의 특징으로 가장 적절한 것은?,보통 상삼각행렬이다,항상 단위행렬이다,항상 직교행렬이다,항상 대칭행렬이다,항상 역행렬이 없다,1
12,정규직교의 의미,정규직교라는 말의 뜻으로 맞는 것은?,길이는 아무거나 되고 서로 평행함,길이가 모두 같고 방향도 같음,서로 직교하고 길이가 1임,서로 독립이기만 하면 됨,영벡터만으로 이루어짐,3
13,직교의 의미,두 벡터가 직교한다는 말의 의미로 가장 적절한 것은?,길이가 같다,방향이 같다,서로 수직이다,둘 다 영벡터다,둘 다 고유벡터다,3
14,최소제곱법의 목표,최소제곱법의 목표로 가장 적절한 것은?,오차를 가능한 작게 만드는 해를 찾는 것,해를 반드시 정수로 만드는 것,행렬을 무조건 역행렬 가능하게 만드는 것,고유값을 구하는 것,모든 해를 제거하는 것,1
15,직교사영과 최소제곱,직교사영과 최소제곱이 연결되는 이유로 가장 적절한 것은?,가장 가까운 점을 찾는 문제가 되기 때문,항상 해가 0이 되기 때문,행렬의 크기가 줄어들기 때문,고유값이 사라지기 때문,기저가 필요 없기 때문,1
16,정규화의 목적,정규화의 목적로 가장 적절한 것은?,해를 더 불안정하게 만들기 위해,계산을 복잡하게 만들기 위해,해가 지나치게 커지거나 과하게 맞춰지는 것을 막기 위해,영벡터를 제거하기 위해,직교성을 없애기 위해,3
17,Ridge 회귀의 특징,Ridge 회귀의 특징으로 맞는 것은?,해의 크기에 대한 벌점을 추가한다,항상 정확한 해만 찾는다,영공간을 없앤다,고유값을 직접 구하는 방법이다,QR분해와 같은 말이다,1
18,Lasso와 Ridge 비교,Lasso와 Ridge를 비교할 때 맞는 설명은?,둘은 완전히 같은 방법이다,둘 다 정규화 방법이다,둘 다 고유값만 구한다,둘 다 직교행렬만 다룬다,둘 다 영벡터를 제거한다,2
19,정규화의 효과,정규화를 사용하면 일반적으로 기대하는 효과는?,훈련 데이터에만 더 과하게 맞춘다,더 안정적인 해를 얻는다,행렬의 차원이 줄어든다,모든 고유벡터가 사라진다,항상 오차가 0이 된다,2
20,최소제곱과 정규화,최소제곱 문제에 정규화를 더하는 이유로 가장 적절한 것은?,해를 하나도 없애기 위해,계산을 무의미하게 만들기 위해,더 안정적이고 일반화가 잘 되는 해를 얻기 위해,고유공간을 없애기 위해,행렬을 항상 대칭으로 바꾸기 위해,3
